date,wind_speed,temperature,precipitation,runoff,snowmelt,sam,oni,iod,wind_std,runoff_std,whdi_1,whdi_3,whdi_6
1984-04-01,4.364000244459818,10.35045530256274,27.46140658253932,4.081242071040536,1.634681825183137,-0.23,-0.43,0.05,0.45494533132383047,-0.7033622123225363,-0.1617666986550155,0.21043212119578542,0.22420859825206244
1984-05-01,5.10625170330186,5.068340376913125,106.62681540213312,13.630174115450352,22.86186789204039,-0.33,-0.51,-0.305,1.0508165566539782,0.03965532612906901,0.7101048678525661,-0.2662780157256182,0.175876791723233
1984-06-01,2.5956887416689187,0.1472582683353602,65.53531245688175,10.030056301018655,23.757680052792303,1.08,-0.45,-0.357,-1.855559810664928,-1.2931858514975314,-2.050433080974781,-0.721699835889615,-0.09634991012776499
1984-07-01,2.2864248952559443,0.9203271359303332,73.4911508711584,15.08719485627547,22.216646431537956,-0.21,-0.3,-0.366,-1.7660362691546707,-0.2635175419682283,-1.3216260442854797,-1.2768024319113378,-0.6799703746728578
1984-08-01,3.0164301022057827,4.321986064283811,33.02060926596442,9.280432332784413,27.3485485289631,-2.33,-0.16,-0.498,-1.297533250534922,-1.138192030823836,-1.5861210237077967,-2.3757640933053725,-1.6746926125955033
1984-09-01,2.4906410667255074,8.37264011878374,61.52839032837835,24.203277511584457,36.38558557652967,-0.16,-0.24,-0.608,-1.207526084124621,1.3855653917737725,0.11593749552542668,-1.3389505042346492,-1.30765975581975
1984-10-01,6.242203975911111,10.914722250345012,64.08503696955458,38.411244388515165,29.178523130267063,1.06,-0.56,-0.654,1.7784510153193027,2.5082838911185856,2.7914808004826646,0.6295608466002559,-0.4153742423071396
1984-11-01,3.755551849164217,14.045076821404937,46.98803503817712,28.13144882162985,18.571132824993043,0.34,-0.92,-0.418,-0.753783132309227,1.1236405107654284,0.24084758992835947,1.5039384373833646,-0.5571542561137679
1984-12-01,3.0009553741079538,15.800874567370052,40.429052862255446,12.303157000751272,2.4032468936863416,-3.22,-1.14,-0.278,-1.472118089704578,0.290823149826606,-0.7692479745888531,1.0802933167294866,-0.1700607561988185
1985-01-01,3.6850732683449343,18.55196252709259,54.4886397485642,6.340025433697418,0.0709107713024853,-2.38,-1.04,-0.466,-0.6993976017060725,0.41563306466841055,-0.18478475443136486,-0.3441317587823739,0.1734211275227485
1985-02-01,4.465612583454037,17.55406772202096,38.99829611476136,4.567804675676453,0.2593185035217354,-0.02,-0.85,-0.627,0.9281078261185102,0.594359016092749,0.9914158566282173,0.015086274771635893,0.9521905396833819
1985-03-01,4.9249501423693856,14.288474059253064,36.4405685412146,4.389982394252083,2.319740069028541,-0.08,-0.77,-0.541,1.6234564996900014,0.08793492951451333,1.1144417420261603,0.9166102877751598,1.2538756759930134
1985-04-01,5.320057071273606,9.971610744398454,42.91042627141511,11.890946282535426,7.266492881383932,0.95,-0.78,-0.2,1.453104842077952,1.3646982621648502,1.8349264502503253,1.8832334711436105,0.9648651579619295
1985-05-01,5.719659882148548,7.58051310603867,79.85470085501703,22.656974241442686,18.998829821016468,0.38,-0.78,-0.223,1.6627179734535347,1.2187715478212249,1.87639843633681,2.30678148951407,1.4590256803325312
1985-06-01,2.324021730840331,5.87175903730517,56.27180454842556,24.559705530527992,25.79243750634596,-2.49,-0.63,-0.629,-2.1195826151864723,0.9698818762505191,-0.7486741328978763,1.4151040091748956,1.4652418003507552
1985-07-01,2.7077311206945405,4.733786647493555,55.92402219348691,26.08201227795873,15.9435252892623,2.64,-0.49,-0.403,-1.3647458333823788,1.5662054328165171,0.13118856569571127,0.5997039986307342,1.5607090499761915
1985-08-01,4.633827975887851,6.036463172323225,28.327612325436387,14.251992725064566,11.379963186045066,1.26,-0.46,-0.459,0.6195879189249358,-0.3665668607823286,0.16476489480657136,-0.21947483190653924,1.3109471596571125
1985-09-01,4.739741318724834,9.03700133177778,41.29391781844397,18.661570384553396,21.397975529747555,1.07,-0.4,-0.238,1.0701410484529423,0.1739267218013544,0.8101250417768203,0.526558272709345,1.2190018068779322
1985-10-01,1.9058463239549728,10.241056888218356,72.73193081402313,19.73813959927028,16.6984556906036,0.57,-0.35,-0.498,-1.846471436986544,-0.8726345595320468,-1.7706558370007077,-0.3836544777792141,0.12962177908440856
1985-11-01,3.091058707300596,16.174766518024292,30.97365116891422,23.05079653402677,15.617473654992711,2.28,-0.27,0.074,-1.4252849758036072,0.36755985713076256,-0.6887804880421231,-0.7921568187110102,-0.6454138366096741
1985-12-01,4.17910015625498,18.091527928183545,34.659801510761085,10.393296045760906,3.1463352300259317,1.9,-0.36,-0.417,-0.41628472058367955,-0.12168455268182518,-0.35032044909400495,-1.3475399407687525,-0.5250564261940676
1986-01-01,4.8290246463589295,18.22728557124901,31.021237051863935,4.96041039066808,0.2085764582890358,0.37,-0.49,-0.113,0.575527134411752,-0.395001611450529,0.11755649517457467,-0.44385142769220565,-0.529175179887669
1986-02-01,4.858347984540289,17.536315945799217,23.66583356761132,3.702541494002569,0.1947249790218278,-4.89,-0.47,-0.135,1.31809354155819,-0.052117060085179356,0.8243917851293217,0.28034488130850405,-0.32987745129220925
1986-03-01,3.733937895530991,13.9130726815755,34.80109132843516,5.678304141859858,1.417960189780172,-1.26,-0.31,-0.2,0.30016852506744807,0.8945266381365108,0.7779740719457237,0.8203407179293588,-0.3395914507568817
1986-04-01,4.201498334461813,10.438893928087747,54.36035948353239,10.755572981404178,8.137888827774827,-0.57,-0.2,-0.286,0.28528718713089013,1.0640440268351934,0.8786715902636058,1.1846064082019885,0.46086854610753053
1986-05-01,5.126293127895254,6.956194002927141,60.49561544779382,20.8300022211953,14.707872822569652,-2.19,-0.12,-0.154,1.070808751942989,0.9801252594816383,1.3355486263800982,1.429243389937334,1.0724933909294345
1986-06-01,5.1973252673781225,4.480510844536252,64.59638279053283,23.576600754679628,21.272132984124656,-0.95,-0.04,-0.278,0.6728714838393404,0.8167582422195724,0.9700326404314725,1.521161612915228,1.4714209900721427
1986-07-01,4.677742520682364,5.018915909397877,34.976358419464816,18.041068291371943,18.712184470127404,-0.02,0.22,-0.546,0.5116725185052688,0.22805679542307924,0.4817046592463734,1.3311753229632663,1.5814436453586889
1986-08-01,3.7765698075833383,4.940024644651157,46.40965826179904,18.953595251818957,18.57945013568621,1.68,0.44,-0.401,-0.396530507401139,0.3631587309670559,-0.02173138186218103,0.6815882338545148,1.3257984802398233
