lead,target,fold,feature_group,model,rmse,mae,r2,best_params
1,whdi_3,4,local_only,persistence,0.5917156681886736,0.4832124890043029,0.51253631767659,
1,whdi_3,4,local_only,elasticnet,0.4282059735257845,0.3533570780895918,0.7447171913751776,"{'alpha': 0.01, 'l1_ratio': 0.9}"
1,whdi_3,4,local_only,random_forest,0.4536830278420842,0.3880804624393823,0.7134362895205504,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_3,4,local_only,xgboost,0.4769172528255409,0.3949513086079605,0.6833334477368183,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'subsample': 1.0}"
1,whdi_3,4,local_only,lstm,0.6150858929664657,0.4622145674273279,0.47327047888452745,"{'hidden_size': 32, 'dropout': 0.2, 'lr': 0.001, 'seq_length': 6}"
1,whdi_3,4,combined,climatology,0.8546804612529939,0.6536795262424344,-0.017006381035982177,
1,whdi_3,4,combined,persistence,0.5917156681886736,0.4832124890043029,0.51253631767659,
1,whdi_3,4,combined,elasticnet,0.46283675845518885,0.36670193920512256,0.7017559330019268,"{'alpha': 0.01, 'l1_ratio': 0.9}"
1,whdi_3,4,combined,random_forest,0.482842536704529,0.40887680720211955,0.6754159519828654,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_3,4,combined,xgboost,0.474688716566856,0.39347806907661664,0.6862859686917738,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'reg_alpha': 0, 'subsample': 0.7}"
1,whdi_3,4,combined,lstm,0.8779457220864741,0.6399456536320282,-0.07312783648282073,"{'hidden_size': 32, 'dropout': 0.3, 'lr': 0.0005, 'seq_length': 12}"
1,whdi_3,5,climate_only,climatology,0.8940827701253546,0.7691255982387653,-0.03018987528477801,
1,whdi_3,5,climate_only,persistence,0.6551095679285913,0.5279266148237567,0.44691776297441,
1,whdi_3,5,climate_only,elasticnet,0.9818993425871677,0.8325190198385447,-0.2424981892390392,"{'alpha': 0.1, 'l1_ratio': 0.1}"
1,whdi_3,5,climate_only,random_forest,0.8812180357322654,0.7483075323550643,-0.0007568705477580817,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 300}"
1,whdi_3,5,climate_only,xgboost,0.8507663150435237,0.7491205662197965,0.06721318538644172,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0, 'subsample': 0.7}"
1,whdi_3,5,climate_only,lstm,0.9416143459458052,0.7867928161377594,-0.14263614800460012,"{'hidden_size': 32, 'dropout': 0.3, 'lr': 0.0005, 'seq_length': 12}"
1,whdi_3,5,local_only,climatology,0.8940827701253546,0.7691255982387653,-0.03018987528477801,
1,whdi_3,5,local_only,persistence,0.6551095679285913,0.5279266148237567,0.44691776297441,
1,whdi_3,5,local_only,elasticnet,0.47419105516805843,0.4000685968251212,0.7102199113693466,"{'alpha': 0.01, 'l1_ratio': 0.5}"
1,whdi_3,5,local_only,random_forest,0.48919711147778416,0.39907747911027225,0.6915891885201675,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_3,5,local_only,xgboost,0.5100788980196237,0.4199535711856926,0.6646976940124785,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_alpha': 0, 'subsample': 0.7}"
1,whdi_3,5,local_only,lstm,0.8009023392599661,0.6397796966837048,0.17335137012079516,"{'hidden_size': 64, 'dropout': 0.2, 'lr': 0.001, 'seq_length': 12}"
1,whdi_3,5,combined,climatology,0.8940827701253546,0.7691255982387653,-0.03018987528477801,
1,whdi_3,5,combined,persistence,0.6551095679285913,0.5279266148237567,0.44691776297441,
1,whdi_3,5,combined,elasticnet,0.4837431023943317,0.4129889919303526,0.6984277355352185,"{'alpha': 0.01, 'l1_ratio': 0.9}"
1,whdi_3,5,combined,random_forest,0.5041445941211156,0.42013727530982303,0.6724541846874301,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_3,5,combined,xgboost,0.5050832348555113,0.4207643928298266,0.6712333680453844,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_alpha': 0, 'subsample': 0.7}"
1,whdi_3,5,combined,lstm,0.911511844240376,0.746116478443398,-0.07074599471936427,"{'hidden_size': 32, 'dropout': 0.3, 'lr': 0.0005, 'seq_length': 12}"
1,whdi_3,6,climate_only,climatology,1.2476533600970459,0.966749736103888,-0.058388647178520436,
1,whdi_3,6,climate_only,persistence,0.5719117025070501,0.4561579767290022,0.7776099983518162,
1,whdi_3,6,climate_only,elasticnet,1.2209823170990126,0.966877397708859,-0.013622028500596572,"{'alpha': 1.0, 'l1_ratio': 0.1}"
1,whdi_3,6,climate_only,random_forest,1.1062886861187147,0.8774604742698652,0.16786414833799423,"{'max_depth': 3, 'min_samples_leaf': 20, 'n_estimators': 100}"
1,whdi_3,6,climate_only,xgboost,1.1146681397024771,0.8897551532991955,0.15521057730400734,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'subsample': 0.7}"
1,whdi_3,6,climate_only,lstm,1.2630026871673776,1.015037220518918,-0.08459061154311431,"{'hidden_size': 32, 'dropout': 0.3, 'lr': 0.0005, 'seq_length': 12}"
1,whdi_3,6,local_only,climatology,1.2476533600970459,0.966749736103888,-0.058388647178520436,
1,whdi_3,6,local_only,persistence,0.5719117025070501,0.4561579767290022,0.7776099983518162,
