lead,target,fold,feature_group,model,rmse,skill_vs_clim,skill_vs_persist
1,whdi_3,5,local_only,random_forest,0.4891971114777841,0.7006272155464761,0.44237802114486846
1,whdi_3,5,local_only,xgboost,0.5100788980196237,0.6745237804877153,0.3937568709659939
1,whdi_3,5,local_only,lstm,0.8318393920725932,0.13438751044991715,-0.6123194038019462
1,whdi_3,6,local_only,elasticnet,0.5582860391922918,0.7997716103823839,0.04708191535798212
1,whdi_3,6,local_only,random_forest,0.6365450506434107,0.7397022522779222,-0.23879751352767586
1,whdi_3,6,local_only,xgboost,0.6608005399687934,0.7194870617262152,-0.3350047531603477
1,whdi_3,6,local_only,lstm,0.9137385995004084,0.46364039567357107,-1.5526188759254937
1,whdi_3,7,local_only,elasticnet,0.3667038677421282,0.8634453865880498,0.2674456975770012
1,whdi_3,7,local_only,random_forest,0.3886400414251613,0.8466193819826696,0.17718172363804552
1,whdi_3,7,local_only,xgboost,0.3669455408587376,0.8632653369260639,0.2664798118317886
1,whdi_3,7,local_only,lstm,0.6834675959606874,0.5256365120268034,-1.5447475214831177
1,whdi_3,8,local_only,elasticnet,0.4703400081083685,0.6143159991172065,0.38146233457765466
1,whdi_3,8,local_only,random_forest,0.4848891129846902,0.5900860999201548,0.34260382541352274
1,whdi_3,8,local_only,xgboost,0.4884378213254234,0.5840641543222918,0.33294617779817703
1,whdi_3,8,local_only,lstm,0.6936076045325648,0.16124432622868423,-0.3451477767466844
1,whdi_3,1,combined,elasticnet,0.6298308578085391,0.8060713281720789,0.4532019775388192
1,whdi_3,1,combined,random_forest,0.7519929006001195,0.7235467912896241,0.2205171808735209
1,whdi_3,1,combined,xgboost,0.7942827847149971,0.6915786360263944,0.13038030779073817
1,whdi_3,1,combined,lstm,1.3488540141187184,0.11054485544492709,-1.5078927707100127
1,whdi_3,2,combined,elasticnet,0.6209237790262692,0.03981257374221925,0.0018548196347313306
1,whdi_3,2,combined,random_forest,0.5997621855673406,0.10414526923958856,0.06873069011021748
1,whdi_3,2,combined,xgboost,0.5994908307182332,0.10495572224448835,0.06957318162659354
1,whdi_3,2,combined,lstm,0.6595650126366893,-0.08341451678177281,-0.12624363607649314
1,whdi_3,3,combined,elasticnet,0.4780721599173601,0.7858752800725463,0.19504329278868204
1,whdi_3,3,combined,random_forest,0.494233052987388,0.7711539221659021,0.13970145374166998
1,whdi_3,3,combined,xgboost,0.4833964383911107,0.7810793176974337,0.17701388412121
1,whdi_3,3,combined,lstm,1.0160035756740466,0.032902249093688996,-2.635599950275544
1,whdi_3,4,combined,elasticnet,0.4628367584551888,0.7067431703877175,0.38817171860569144
1,whdi_3,4,combined,random_forest,0.482842536704529,0.6808436465398631,0.3341369628398535
1,whdi_3,4,combined,xgboost,0.474688716566856,0.6915318948258135,0.35643609424816347
1,whdi_3,4,combined,lstm,0.8549591072453385,-0.0006521534715313582,-1.087682964251615
1,whdi_3,5,combined,elasticnet,0.4837431023943317,0.7072653578725794,0.45474245188816587
1,whdi_3,5,combined,random_forest,0.5041445941211156,0.6820529659913174,0.40778098918151484
1,whdi_3,5,combined,xgboost,0.5050832348555113,0.6808679255717458,0.40557369239937424
1,whdi_3,5,combined,lstm,0.9401750660460596,-0.10576288116491295,-1.0596317299358726
1,whdi_3,6,combined,elasticnet,0.5490138395231247,0.8063672990312917,0.07847182468210612
1,whdi_3,6,combined,random_forest,0.6238661078025634,0.7499683974721836,-0.18993932996112428
1,whdi_3,6,combined,xgboost,0.6607893436543035,0.7194965674220432,-0.33495951407372826
1,whdi_3,6,combined,lstm,1.0009090972598065,0.3564217003075003,-2.06288934267185
1,whdi_3,7,combined,elasticnet,0.3609665860284065,0.8676849029171158,0.2901888026940782
1,whdi_3,7,combined,random_forest,0.3751992564570246,0.8570450052389634,0.23311052004420874
1,whdi_3,7,combined,xgboost,0.3648550619487215,0.8648188465542272,0.2748136947635468
1,whdi_3,7,combined,lstm,0.7575590757735498,0.4172149439856997,-2.1263806436417565
1,whdi_3,8,combined,elasticnet,0.4697957092584687,0.6152081447384374,0.3828931060602928
1,whdi_3,8,combined,random_forest,0.475604909787267,0.6056331172470624,0.36753723146525175
1,whdi_3,8,combined,xgboost,0.5022189875171977,0.56026196101934,0.294773598578296
1,whdi_3,8,combined,lstm,0.6802557580316932,0.19322537134159623,-0.293858428636238
1,whdi_6,1,climate_only,elasticnet,1.2729634741621214,0.09636256688191636,-1.5810596940671395
1,whdi_6,1,climate_only,random_forest,1.3748007815878989,-0.054003053874243534,-2.0105490322499606
1,whdi_6,1,climate_only,xgboost,1.3772659861867251,-0.05778638421945392,-2.021355359107923
1,whdi_6,1,climate_only,lstm,1.4156406008698226,-0.1175535644411203,-2.1920683621824986
1,whdi_6,2,climate_only,elasticnet,0.5747673864018993,-0.08761800705225342,-0.1110966661314432
1,whdi_6,2,climate_only,random_forest,0.4488485429990348,0.3367278010381446,0.32240959213101517
1,whdi_6,2,climate_only,xgboost,0.449917921616681,0.33356355306819785,0.3191770368152479
1,whdi_6,2,climate_only,lstm,0.6940556189617709,-0.5859179104139052,-0.6201534836618208
1,whdi_6,3,climate_only,elasticnet,0.7135768993275123,0.4454954374448592,-1.9182180990129085
1,whdi_6,3,climate_only,random_forest,0.6493298785338727,0.5408502693107357,-1.4163895930451837
1,whdi_6,3,climate_only,xgboost,0.7428344647853815,0.3990924646952555,-2.1624252779437954
1,whdi_6,3,climate_only,lstm,0.8162044346073908,0.2745266561177655,-2.817983810111619
1,whdi_6,4,climate_only,elasticnet,1.083734208097454,-0.2548353057970414,-2.900272809533846
1,whdi_6,4,climate_only,random_forest,1.1569271795721143,-0.4300565558635401,-3.444894620961769
