climate_mode,target,lag_months,correlation,p_raw,p_adjusted,n_effective,significant_raw,significant_adj
oni,whdi_1,0,0.13110254166261587,0.0018080068725737457,0.017522084665217312,328,True,True
oni,whdi_1,1,0.08628845352262834,0.04068873593493214,0.11883206636011322,328,True,False
oni,whdi_1,2,0.038199446623402335,0.36605354193695455,0.49121850111617577,327,False,False
oni,whdi_1,3,-0.007288661745295772,0.8632391170673325,0.8952192736772911,329,False,False
oni,whdi_1,4,-0.04550397877771502,0.28238750295844395,0.4121427036483363,327,False,False
oni,whdi_1,5,-0.07114504017137435,0.09286790733225862,0.19941296238183148,327,False,False
oni,whdi_1,6,-0.0825945173038027,0.051175248571006214,0.13672499018518128,326,False,False
oni,whdi_1,7,-0.08700862692469036,0.04009600303149115,0.11746644524162887,325,True,False
oni,whdi_1,8,-0.08829433191524193,0.03740366715808046,0.11101700270543104,327,True,False
oni,whdi_1,9,-0.09409372248771594,0.02664885533814802,0.08985830506056268,326,True,False
oni,whdi_1,10,-0.10463368264812668,0.013740050358033667,0.05914193872897893,326,True,False
oni,whdi_1,11,-0.11219342537554654,0.008273319242048723,0.04293729651535481,326,True,True
oni,whdi_1,12,-0.11401265867599174,0.007332204445951306,0.039651796716911325,326,True,True
oni,whdi_3,0,0.2370633081828435,1.2799047791848145e-08,0.053413696965934364,67,True,False
oni,whdi_3,1,0.18438745627665745,1.0863489849149766e-05,0.135250473772929,67,True,False
oni,whdi_3,2,0.12184473366562969,0.003817378124732278,0.32598208758417435,67,True,False
oni,whdi_3,3,0.05560511156871737,0.1884724301163247,0.6549269701696192,67,False,False
oni,whdi_3,4,-0.0074317944542524085,0.8607042037648056,0.9520371563235223,68,False,False
oni,whdi_3,5,-0.059823338304982515,0.15779890025055773,0.6305939491309986,67,False,False
oni,whdi_3,6,-0.09578520139339826,0.023649792354939424,0.4406735917210739,67,True,False
oni,whdi_3,7,-0.11559096785863548,0.006312788732967988,0.35160814635220666,67,True,False
oni,whdi_3,8,-0.12378638613620777,0.0034609521888307824,0.31827346254988537,67,True,False
oni,whdi_3,9,-0.1293418860768858,0.0022652324486006287,0.2968673400119473,67,True,False
oni,whdi_3,10,-0.13809266743205764,0.0011196392793175827,0.2651013600526111,67,True,False
oni,whdi_3,11,-0.14989917723187077,0.0004046236574098909,0.22599431486271904,67,True,False
oni,whdi_3,12,-0.1598342587304748,0.00016258664754179256,0.19635602867460597,67,True,False
oni,whdi_6,0,0.3343747502766434,4.549716294442063e-16,0.06598303932301912,31,True,False
oni,whdi_6,1,0.30235576893048,2.7872011197015973e-13,0.09828627630224504,31,True,False
oni,whdi_6,2,0.2501552525294431,2.0120643345526195e-09,0.174697334527975,31,True,False
oni,whdi_6,3,0.1838282271223583,1.2205575457664822e-05,0.32221258897504546,31,True,False
oni,whdi_6,4,0.1106135343768337,0.008859258469758125,0.5535935364225208,31,True,False
oni,whdi_6,5,0.03820364797961359,0.3672890399854487,0.8383206376652244,31,False,False
oni,whdi_6,6,-0.026170183447644522,0.5372927145014347,0.888861239218195,31,False,False
oni,whdi_6,7,-0.07825340827505495,0.0649606761442818,0.6756293883890044,31,False,False
oni,whdi_6,8,-0.11599742367380057,0.006176292312311139,0.5415878945442942,30,True,False
oni,whdi_6,9,-0.14181947761393546,0.0008067690632394025,0.4547246078993365,30,True,False
oni,whdi_6,10,-0.15974451916176338,0.00015954618304573582,0.3991094227774497,30,True,False
oni,whdi_6,11,-0.1725769134401755,4.5078914328118214e-05,0.36179691387405005,30,True,False
oni,whdi_6,12,-0.18294497288541922,1.5250140909025836e-05,0.33321793708459263,30,True,False
oni,wind_std,0,-0.026130463650811217,0.5357232823970889,0.5445722111036437,540,False,False
oni,wind_std,1,-0.03451421736496509,0.41372061567395624,0.42433254545637594,538,False,False
oni,wind_std,2,-0.041325621911478864,0.32811190508855775,0.33961226139749795,536,False,False
oni,wind_std,3,-0.048745421499818135,0.2490471742993072,0.25947682811686534,537,False,False
oni,wind_std,4,-0.05188872498140655,0.22020106266654502,0.23084315140186185,535,False,False
oni,wind_std,5,-0.04734393697628288,0.2637881470286263,0.27434105061670166,535,False,False
oni,wind_std,6,-0.03180355628097543,0.4533936275888966,0.46331821365181314,534,False,False
oni,wind_std,7,-0.016656930879568353,0.6948648107721208,0.7012164597016686,533,False,False
oni,wind_std,8,-0.006683943362982507,0.8750461520670878,0.8776489612671267,533,False,False
oni,wind_std,9,-0.009914385031281432,0.8157252560138066,0.8193667055416896,533,False,False
oni,wind_std,10,-0.02236304910794805,0.5994160333888614,0.6074724219662309,530,False,False
oni,wind_std,11,-0.03187355470383031,0.4544414366484556,0.46360013414780715,531,False,False
oni,wind_std,12,-0.03492296150407517,0.412847087454385,0.42280023933265565,529,False,False
oni,runoff_std,0,0.22945404563892313,3.571361293611668e-08,0.0006589677493175133,217,True,True
oni,runoff_std,1,0.1682689444336622,6.010641305339563e-05,0.013058706274938575,217,True,True
oni,runoff_std,2,0.1006215227624272,0.017026471240239847,0.1395580584722335,217,True,False
oni,runoff_std,3,0.03748121414239512,0.3755688861780613,0.5829115570169953,217,False,False
oni,runoff_std,4,-0.018581165258451982,0.6608310990400729,0.7854988068820642,217,False,False
oni,runoff_std,5,-0.06288595174416611,0.13755288210016312,0.3576883363980995,216,False,False
oni,runoff_std,6,-0.09624890458210755,0.02297942567177183,0.1596273737547156,215,True,False
oni,runoff_std,7,-0.11826579484281707,0.005194523387314264,0.08508331098976206,213,True,False
oni,runoff_std,8,-0.1308443759629697,0.001990658765854322,0.05657520337300556,213,True,False
oni,runoff_std,9,-0.13658683600947216,0.0012568822598090033,0.047000572351414166,212,True,True
