season,climate_mode,target,lag_months,correlation,p_adjusted,n_effective,significant
MAM,sam,whdi_3,12,-0.10428598789817484,0.26524852480044486,116,False
MAM,sam,wind_std,0,-0.06593821418747646,0.44564358280193284,136,False
MAM,sam,wind_std,1,-0.10513396341966845,0.22491827451159416,135,False
MAM,sam,wind_std,2,0.004307933616376297,0.9604503535935741,135,False
MAM,sam,wind_std,3,-0.05494637438266891,0.5283230507165245,134,False
MAM,sam,wind_std,4,-0.1264939045187917,0.1468179101094359,133,False
MAM,sam,wind_std,5,-0.060982998140777386,0.4872908124639392,132,False
MAM,sam,wind_std,6,-0.0005740400722027833,0.9948080267009154,131,False
MAM,sam,wind_std,7,-0.09345889787422607,0.2902285008463225,130,False
MAM,sam,wind_std,8,0.04578867150771419,0.6063659102793147,129,False
MAM,sam,wind_std,9,0.005306318766754924,0.9525971646679743,128,False
MAM,sam,wind_std,10,-0.16394868900186466,0.06550101103889037,127,False
MAM,sam,wind_std,11,-0.07646081160122452,0.3947896725069656,126,False
MAM,sam,wind_std,12,-0.1346858232499347,0.13425346480411549,125,False
MAM,sam,runoff_std,0,-0.30540291064655245,0.0003507279614279364,133,True
MAM,sam,runoff_std,1,-0.1592594178903768,0.06709501952208675,133,False
MAM,sam,runoff_std,2,0.01755703038045838,0.8410256339128279,133,False
MAM,sam,runoff_std,3,-0.04208603494043844,0.6318353772478592,132,False
MAM,sam,runoff_std,4,-0.03028464564697107,0.7303095360396236,132,False
MAM,sam,runoff_std,5,-0.0076947410654861215,0.930221396609753,132,False
MAM,sam,runoff_std,6,0.10327519420179765,0.24045448579169157,131,False
MAM,sam,runoff_std,7,-0.1399469168606662,0.11227394403765807,130,False
MAM,sam,runoff_std,8,-0.04598702547019799,0.6062366693200009,128,False
MAM,sam,runoff_std,9,0.008227401005669828,0.9268546321659619,127,False
MAM,sam,runoff_std,10,0.04968449873401538,0.580612487206808,126,False
MAM,sam,runoff_std,11,-0.03353575244559151,0.7104298840580022,125,False
MAM,sam,runoff_std,12,-0.0873862586799633,0.3345023660857186,124,False
MAM,oni,whdi_3,0,-0.07831375454127157,0.5772575778752828,53,False
MAM,oni,whdi_3,1,-0.17219678182503936,0.21759316849341206,53,False
MAM,oni,whdi_3,2,-0.24253775036231878,0.08014780907098401,53,False
MAM,oni,whdi_3,3,-0.23994345704234862,0.09679328664678885,49,False
MAM,oni,whdi_3,4,-0.23565267271588086,0.09946284820059362,50,False
MAM,oni,whdi_3,5,-0.15766305405997377,0.2691794138051908,51,False
MAM,oni,whdi_3,6,-0.08017634739844731,0.5720627146080015,52,False
MAM,oni,whdi_3,7,0.06694669766815657,0.6406667565541505,51,False
MAM,oni,whdi_3,8,0.13469135599145282,0.35103606946690064,50,False
MAM,oni,whdi_3,9,0.15063537861774862,0.3015399909940191,49,False
MAM,oni,whdi_3,10,0.08983109871128134,0.539329247032988,49,False
MAM,oni,whdi_3,11,0.045596150107666523,0.755728132055497,49,False
MAM,oni,whdi_3,12,-0.025423049469282713,0.8623408238826561,49,False
MAM,oni,wind_std,0,-0.11410894825824178,0.2225901107056675,116,False
MAM,oni,wind_std,1,-0.17996386144006452,0.0532247503212862,116,False
MAM,oni,wind_std,2,-0.2300269042736097,0.013395635746751261,115,True
MAM,oni,wind_std,3,-0.16010483046827872,0.08882890662112758,114,False
MAM,oni,wind_std,4,-0.11290214461282351,0.23592509441300563,112,False
MAM,oni,wind_std,5,-0.0010784929651260888,0.9910781475892363,110,False
MAM,oni,wind_std,6,0.06506440331123649,0.5034887845672219,108,False
MAM,oni,wind_std,7,0.12159452498171563,0.20571827847111482,110,False
MAM,oni,wind_std,8,0.08561938189315287,0.38515810642523296,105,False
MAM,oni,wind_std,9,0.07707415996102177,0.43451753762126294,105,False
MAM,oni,wind_std,10,0.04239582800207185,0.6706830031883388,103,False
MAM,oni,wind_std,11,0.06427395360896118,0.5210037526410332,102,False
MAM,oni,wind_std,12,0.03147360024117281,0.7547015657940713,101,False
MAM,oni,runoff_std,0,-0.0216592677843578,0.8289275343529044,102,False
MAM,oni,runoff_std,1,-0.10626904817064033,0.28534944041314586,103,False
MAM,oni,runoff_std,2,-0.14871122757564528,0.13577590258845346,102,False
MAM,oni,runoff_std,3,-0.08463309568914183,0.400081233869514,101,False
MAM,oni,runoff_std,4,-0.13927746627062204,0.16268075278144165,102,False
MAM,oni,runoff_std,5,-0.0963147376829646,0.32370042588022013,107,False
MAM,oni,runoff_std,6,-0.05338061224830439,0.5868142686097079,106,False
MAM,oni,runoff_std,7,0.07306429075082621,0.4588663413780117,105,False
MAM,oni,runoff_std,8,0.09813840539611099,0.32888528425955516,101,False
MAM,oni,runoff_std,9,0.12304629558764785,0.2298582075404395,97,False
MAM,oni,runoff_std,10,0.10168069671430585,0.3216719843472713,97,False
MAM,oni,runoff_std,11,0.05492759612750366,0.595051560223869,96,False
MAM,oni,runoff_std,12,0.019054637107350232,0.8545786220509652,95,False
